17.41,0.34,24.69,8.78,14.62,45.05,27.81,41.61,42.95,36.27
4.91,3.02,32.92,16.21,45.18,26.47,38.71,12.69,49.67,44.35
11.03,33.22,14.73,11.41,18.53,44.47,7.62,9.37,41.23,28.29
35.16,42.90,6.88,42.40,48.64,5.46,29.90,0.70,1.06,48.93
23.29,4.84,40.56,26.66,8.31,39.44,23.26,38.37,32.18,41.29
15.33,8.39,30.04,6.77,36.73,45.21,22.24,29.70,23.77,12.97
40.86,36.61,17.55,24.55,2.31,0.50,24.41,30.66,41.07,37.07
37.57,33.53,9.45,8.09,38.21,46.22,30.06,18.13,41.00,5.62
9.10,37.24,33.48,41.95,0.02,36.91,20.74,21.96,49.48,34.68
34.81,49.53,38.18,38.00,17.27,43.28,33.48,21.07,17.10,14.13
